번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,공사립구분명,보험가입여부코드,지도자수,건축물동수,건축물연면적,회원모집총인원,세부업종명,법인명
182,등록체육시설업,10_31_03_P,6430000,3.02E+14,20101220,,1,영업/정상,1,영업,,,,,,,,충청북도 음성군 삼성면 대야리 산 2번지 1호,충청북도 음성군 삼성면 덕호로 382,,젠스필드CC(대중제),2.02E+13,U,40:00.0,,245973.0276,394057.3526,골프장,,,,,6908.07,,정규대중,(주)드래곤힐
183,등록체육시설업,10_31_03_P,6430000,3.02E+14,20101220,,1,영업/정상,1,영업,,,,,,,,충청북도 충주시 신니면 대화리 산 7번지,충청북도 충주시 신니면 화치3길 35,,로얄포레CC(회원제),2.02E+13,U,40:00.0,,260582.9531,387895.4412,골프장,,,,,7662.06,,회원제,
184,등록체육시설업,10_31_03_P,6430000,3.02E+14,20110318,,1,영업/정상,1,영업,,,,,,,,충청북도 진천군 문백면 사양리 116번지 1호,충청북도 진천군 문백면 농다리로 809,,골프존카운티 화랑((주)지씨진천)-(대중제18),2.02E+13,U,40:00.0,,241865.108,368860.5312,골프장,,,,6,15410,,정규대중,
185,등록체육시설업,10_31_03_P,6430000,3.02E+14,20110819,,1,영업/정상,1,영업,,,,,,,,충청북도 충주시 이류면 만정리 산 38번지,충청북도 충주시 대소원면 성종두담길 114,,대영힐스CC,2.02E+13,I,59:59.0,,276046.8371,383976.5646,골프장,,,,5,10260,0,정규대중,
186,등록체육시설업,10_31_03_P,6430000,3.02E+14,20120801,,1,영업/정상,1,영업,,,,,,0,,충청북도 제천시 고암동 188번지,충청북도 제천시 의림대로 580 (고암동),,제천친환경(에콜리안제천골프장(대중제)),2.02E+13,I,59:59.0,,307407.8844,409138.6906,골프장,,,,3,2888,,일반대중,
187,등록체육시설업,10_31_03_P,6430000,3.02E+14,20120827,,1,영업/정상,1,영업,,,,,435397900,,,충청북도 진천군 백곡면 갈월리 산 29번지 1호,충청북도 진천군 백곡면 소토골길 61,,히든밸리CC,2.02E+13,U,40:00.0,,227949.33,378460.6273,골프장,,,,9,17714,,,
188,등록체육시설업,10_31_03_P,6460000,3.02E+14,20131114,,1,영업/정상,1,영업,,,,,614528100,,,전라남도 무안군 청계면 태봉리 산 63번지,전라남도 무안군 청계면 태봉길 33-100,,무안클린밸리CC,2.02E+13,U,40:00.0,,,,골프장,,,,4,3672.17,,,
189,등록체육시설업,10_31_03_P,6460000,3.02E+14,20140715,,1,영업/정상,1,영업,,,,,,,,,전라남도 영광군 영광읍 월현로1길 40,,에코리안영광골프장,2.01E+13,I,59:59.0,,,,골프장,,,,3,3672.17,0,,
190,등록체육시설업,10_31_03_P,6460000,3.02E+14,20141224,,1,영업/정상,1,영업,,,,,,,,전라남도 보성군 보성읍 쾌상리 1364번지 0호,,,보성 에덴 컨트리클럽,2.02E+13,U,40:00.0,,,,골프장,,,,,1378,,,
191,등록체육시설업,10_31_03_P,6460000,3.02E+14,20150102,,1,영업/정상,1,영업,,,,,,0,,전라남도 함평군 함평읍 수호리 산 55번지 8호,전라남도 함평군 함평읍 함장로 889-11,,함평천지컨트리클럽,2.02E+13,U,40:00.0,,154360.1709,172592.9485,골프장,,,0,0,2683.3,0,일반대중,(주)제이앤제이
192,등록체육시설업,10_31_03_P,6460000,3.02E+14,20151130,,1,영업/정상,1,영업,,,,,,0,,전라남도 화순군 춘양면 양곡리 산 67번지 83호,전라남도 화순군 춘양면 장곡길 55,,엘리체컨트리클럽,2.02E+13,I,59:59.0,,193096.148,161662.5593,골프장,,,,17,6311.42,,회원제,
193,등록체육시설업,10_31_03_P,6460000,3.02E+14,20161209,,1,영업/정상,1,영업,,,,,,,,전라남도 나주시 빛가람동 908번지,전라남도 나주시 혁신로 200 (빛가람동),,나주혁신도시 부영CC,2.02E+13,U,40:00.0,,182051.0961,168348.0239,골프장,,,,8,14198.63,0,없음,주식회사 부영주택 나주부영CC
194,등록체육시설업,10_31_03_P,6460000,3.02E+14,20170410,,1,영업/정상,1,영업,,,,,,,,전라남도 담양군 창평면 광덕리 산 14번지 8호,전라남도 담양군 창평면 창평로 159,,담양 죽향컨트리클럽,2.02E+13,I,59:59.0,,199248.5961,196294.284,골프장,,,,5,3117.65,,,
195,등록체육시설업,10_31_03_P,6460000,3.02E+14,20180101,,1,영업/정상,1,영업,,,,,,,,전라남도 담양군 창평면 광덕리 14번지 8호 주식회사진홍개발,"전라남도 담양군 창평면 창평로 159-0, 1동 (주식회사진홍개발)",,죽향컨트리클럽,2.02E+13,I,59:59.0,,199206,196472,골프장,,,,5,3117.65,,,
196,등록체육시설업,10_31_03_P,6460000,3.02E+14,20111012,,1,영업/정상,1,영업,,,,,,,,,,,,,,,,,,,,,,,,,,
197,등록체육시설업,10_31_03_P,6450000,3.02E+14,20100817,,1,영업/정상,1,영업,,,,,,,,전라북도 순창군 순창읍 순화리 산 11번지 4호,전라북도 순창군 순창읍 금산로 152,,디케이레저,2.02E+13,U,40:00.0,,211222.1425,209999.1453,골프장,,,,3,2672.69,0,없음,(주)순창씨씨(CC)
198,등록체육시설업,10_31_03_P,6450000,3.02E+14,20101028,,1,영업/정상,1,영업,,,,,,,,전라북도 군산시 옥서면 옥봉리 1741번지,전라북도 군산시 옥서면 남군산로 1911-7,,군산CC,2.02E+13,I,59:59.0,,168307.0829,265996.2653,골프장,,,,1,102.33,,없음,
199,등록체육시설업,10_31_03_P,6450000,3.02E+14,20101222,,1,영업/정상,1,영업,,,,,,,,전라북도 김제시 금구면 낙성리 343번지 1호,전라북도 김제시 금구면 낙산로 120,,에스페란사골프클럽,2.02E+13,I,59:59.0,,200500.9574,256259.6203,골프장,,,,3,1389,0,없음,
200,등록체육시설업,10_31_03_P,6450000,3.02E+14,20101222,,1,영업/정상,1,영업,,,,,,,,전라북도 완주군 운주면 산북리 62번지,전라북도 완주군 운주면 산북신복길 166,,운선컨트리클럽,2.02E+13,I,59:59.0,,231789.8702,286414.5157,골프장,,,,2,2219.25,0,없음,
201,등록체육시설업,10_31_03_P,6450000,3.02E+14,20110601,,1,영업/정상,1,영업,,,,,,,,전라북도 무주군 안성면 공진리 산 53번지 1호,전라북도 무주군 안성면 장무로 1537-21,,무주안성CC,2.02E+13,U,40:00.0,,257517.5054,259508.1809,골프장,,,,6,8436.12,1206,정규대중,
202,등록체육시설업,10_31_03_P,6450000,3.02E+14,20110810,,1,영업/정상,1,영업,,,,,,,,전라북도 고창군 고창읍 석정리 814번지 2호,전라북도 고창군 고창읍 석정2로 192,,석정힐CC,2.02E+13,I,59:59.0,,176473.2,214562.1977,골프장,,,,4,3924.59,0,없음,
203,등록체육시설업,10_31_03_P,6500000,3.02E+14,20080924,,1,영업/정상,1,영업,,,,,,0,,제주특별자치도 서귀포시 색달동 74번지,제주특별자치도 서귀포시 상예로 530 (색달동),,스카이힐제주CC,2.02E+13,I,59:59.0,,144532.4932,-23300.05622,골프장,,,,,7193.57,,회원제,
204,등록체육시설업,10_31_03_P,6500000,3.02E+14,20080924,,1,영업/정상,1,영업,,,,,,0,,제주특별자치도 서귀포시 색달동 74번지,제주특별자치도 서귀포시 상예로 530 (색달동),,스카이힐제주CC,2.02E+13,I,59:59.0,,144532.4932,-23300.05622,골프장,,,,,1801.06,,일반대중,
205,등록체육시설업,10_31_03_P,6480000,3.02E+14,20180831,,1,영업/정상,1,영업,,,,,,0,,경상남도 통영시 산양읍 영운리 산 184번지 5호,경상남도 통영시 산양읍 담안길 240,,통영 동원로얄컨트리클럽,2.02E+13,I,59:59.0,,330250.7599,146904.611,골프장,,,,,5399.87,,,
