번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,공사립구분명,보험가입여부코드,지도자수,건축물동수,건축물연면적,회원모집총인원,세부업종명,법인명
243,등록체육시설업,10_31_03_P,6480000,3.02E+14,20080110,,1,영업/정상,1,영업,,,,,,0,,경상남도 양산시 어곡동 산 489번지 1호,경상남도 양산시 어실로 910 (어곡동),,에덴밸리 컨트리클럽,2.01E+13,I,59:59.0,,381045.3712,216112.957,골프장,,,,8,4996.22,697,회원제,
244,등록체육시설업,10_31_03_P,6480000,3.02E+14,20080826,,1,영업/정상,1,영업,,,,,,,,경상남도 밀양시 활성동 산 33번지,경상남도 밀양시 활성로 455 (활성동),,리더스컨트리클럽,2.01E+13,I,59:59.0,,363996.8045,220695.2894,골프장,,,,7,8967.91,0,없음,
245,등록체육시설업,10_31_03_P,6480000,3.02E+14,20081031,,1,영업/정상,1,영업,,,,,,,,경상남도 김해시 진례면 송현리 산 50번지,경상남도 김해시 진례면 고모로134번길 54-49,,롯데스카이힐김해 컨트리클럽,2.02E+13,U,40:00.0,,362473.3076,195179.4094,골프장,,,,5,8545,600,없음,
246,등록체육시설업,10_31_03_P,6480000,3.02E+14,20100219,,1,영업/정상,1,영업,,,,,,,,경상남도 고성군 회화면 봉동리 산 98번지,경상남도 고성군 회화면 영회로 2770,,고성Nobel컨트리클럽,2.02E+13,U,40:00.0,,328182.6666,175896.5056,골프장,,,,3,7282.51,900,없음,
247,등록체육시설업,10_31_03_P,6480000,3.02E+14,20100621,,1,영업/정상,1,영업,,,,,,,,경상남도 양산시 상북면 소토리 산 9번지 18호,경상남도 양산시 상북면 충렬로 687,,양산컨트리클럽,2.02E+13,U,40:00.0,,385825.1995,213114.4125,골프장,,,,6,12437.39,900,없음,
248,등록체육시설업,10_31_03_P,6480000,3.02E+14,20100630,,1,영업/정상,1,영업,,,,,,,,경상남도 고성군 고성읍 월평리 산 48번지,경상남도 고성군 고성읍 월평로 6,,고성컨트리클럽,2.02E+13,U,36:23.0,,,,골프장,,,,3,1682.68,0,없음,
249,등록체육시설업,10_31_03_P,6480000,3.02E+14,20101028,,1,영업/정상,1,영업,,,,,,,,경상남도 창녕군 장마면 초곡리 산 228번지,경상남도 창녕군 장마면 영산계성로 469-195,,힐마루컨트리클럽창녕(대중제),2.01E+13,I,59:59.0,,336096.1418,223540.8546,골프장,,,,5,317.93,,없음,
250,등록체육시설업,10_31_03_P,6480000,3.02E+14,20101028,,1,영업/정상,1,영업,,,,,,,,경상남도 창녕군 장마면 초곡리 산 228번지,경상남도 창녕군 장마면 영산계성로 469-195,,힐마루컨트리클럽창녕(회원제),2.01E+13,I,59:59.0,,336096.1418,223540.8546,골프장,,,,5,18217.72,,없음,
251,등록체육시설업,10_31_03_P,6480000,3.02E+14,20110116,,1,영업/정상,1,영업,,,,,,,,경상남도 거제시 장목면 송진포리 산 77번지 3호,경상남도 거제시 장목면 거제북로 1573,,거제 드비치 골프클럽,2.01E+13,I,59:59.0,,353102.114,170331.1743,골프장,,,,6,8517.18,515,없음,
252,등록체육시설업,10_31_03_P,6480000,3.02E+14,20110311,,1,영업/정상,1,영업,,,,,,,,경상남도 사천시 곤양면 가화리 산 109번지 1호,경상남도 사천시 곤양면 흥신로 210,,사천 타니컨트리클럽(회원27홀),2.02E+13,U,40:00.0,,292619.9659,178583.3383,골프장,,,,4,9655.36,900,없음,
253,등록체육시설업,10_31_03_P,6480000,3.02E+14,20110311,,1,영업/정상,1,영업,,,,,,,,경상남도 사천시 곤양면 가화리 산 109번지 1호,경상남도 사천시 곤명면 흥신로 210,,사천 타니컨트리클럽(대중제9홀),2.02E+13,U,59:59.0,,292619.9659,178583.3383,골프장,,,,1,96.91,,없음,
254,등록체육시설업,10_31_03_P,6480000,3.02E+14,20110922,,1,영업/정상,1,영업,,,,,,,,경상남도 함양군 서상면 대남리 3번지,경상남도 함양군 서상면 소로길 207,,함양리조트 스카이뷰컨트리클럽,2.01E+13,I,59:59.0,,264543.7628,243185.1734,골프장,,,,5,8079.75,790,없음,
255,등록체육시설업,10_31_03_P,6480000,3.02E+14,20120807,,1,영업/정상,1,영업,,,,,,0,,경상남도 사천시 축동면 반용리 산 110번지 1호,경상남도 사천시 축동면 화당산로 224,,삼삼컨트리클럽,2.01E+13,I,59:59.0,,295734.9034,179864.3331,골프장,,,,3,3675.98,,일반대중,삼삼레저개발(주)
256,등록체육시설업,10_31_03_P,6480000,3.02E+14,20130620,,1,영업/정상,1,영업,,,,,,,,경상남도 남해군 창선면 진동리 산 321번지,경상남도 남해군 창선면 흥선로1505번길 95,,사우스케이프오너스클럽,2.02E+13,I,59:59.0,,,,골프장,,,,14,20243.69,0,없음,
257,등록체육시설업,10_31_03_P,6480000,3.02E+14,20130710,,1,영업/정상,1,영업,,,,,,,,경상남도 사천시 서포면 다평리 16번지 1호,경상남도 사천시 서포면 구송로 151,,골프존카운티사천,2.02E+13,U,40:00.0,,288123.902,167231.4904,골프장,,,,6,10034.79,,없음,
258,등록체육시설업,10_31_03_P,6480000,3.02E+14,20130819,,1,영업/정상,1,영업,,,,,,,,경상남도 양산시 상북면 상삼리 산 13번지,경상남도 양산시 상북면 공원로 305-391,,다이아몬드 컨트리클럽,2.01E+13,I,59:59.0,,384539.8191,216269.5519,골프장,,,,,7230.74,,없음,
259,등록체육시설업,10_31_03_P,6480000,3.02E+14,20131121,,1,영업/정상,1,영업,,,,,,,,경상남도 거제시 거제면 옥산리 285번지 3호,경상남도 거제시 거제면 두동로 259-80,,거제뷰컨트리클럽,2.02E+13,U,40:00.0,,345381.2104,154953.6892,골프장,,,,,6487.55,,없음,
260,등록체육시설업,10_31_03_P,6480000,3.02E+14,20170816,,1,영업/정상,1,영업,,,,,,0,,경상남도 밀양시 부북면 전사포리 941번지,경상남도 밀양시 부북면 사포산단1길 157,,(주)밀양컨트리클럽,2.02E+13,I,59:59.0,,357439.6069,219060.755,골프장,,,,,1685.49,,없음,
261,등록체육시설업,10_31_03_P,6480000,3.02E+14,20180621,,1,영업/정상,1,영업,,,,,,,,경상남도 양산시 어곡동 산 283번지 6호,,,양산 동원로얄컨트리클럽,2.02E+13,I,59:59.0,,383232.1018,212809.3502,골프장,,,,,9416.16,,,
262,등록체육시설업,10_31_03_P,6480000,3.02E+14,20080429,,1,영업/정상,1,영업,,,,,,0,,경상남도 양산시 원동면 대리 1040번지 1호,경상남도 양산시 원동면 어실로 1206,,뉴월드 스키장,2.01E+13,I,59:59.0,,380136.7503,216381.8909,스키장,,,,4,9609.88,0,,
263,등록체육시설업,10_31_03_P,6480000,3.02E+14,20071221,,1,영업/정상,1,영업,,,,,,,,,,,,,,,,,,,,,,,,,,
264,등록체육시설업,10_31_03_P,6310000,3.02E+14,20070221,,1,영업/정상,1,영업,,,,,,0,,울산광역시 울주군 삼남면 방기리 산 82번지 1호,울산광역시 울주군 삼남면 방기가천로 179,,삼남대중골프장,2.01E+13,I,59:59.0,,387752.8935,225169.5877,골프장,,,,4,1812,0,일반대중,(주)삼남
265,등록체육시설업,10_31_03_P,6310000,3.02E+14,20070221,,1,영업/정상,1,영업,,,,,,0,,울산광역시 울주군 삼동면 금곡리 산 183번지 6호,울산광역시 울주군 삼동면 삼동로 404,,보라컨트리클럽,2.01E+13,I,59:59.0,,393914.7144,224264.2074,골프장,,,,8,9977.96,389,회원제,주식회사 반도개발
266,등록체육시설업,10_31_03_P,6310000,3.02E+14,20070221,,1,영업/정상,1,영업,,,,,,0,,울산광역시 울주군 웅촌면 대대리 산 105번지,울산광역시 울주군 웅촌면 웅촌로 1,,울산컨트리클럽,2.01E+13,I,59:59.0,,398655.1801,219210.8721,골프장,,,,34,12077,1658,회원제,사단법인 울산개발 이사장 양희열
267,등록체육시설업,10_31_03_P,6310000,3.02E+14,20140516,,1,영업/정상,1,영업,,,,,,0,,울산광역시 울주군 서생면 위양리 259번지,울산광역시 울주군 서생면 용연길 206-52,,스타스콥컨트리클럽,2.01E+13,I,59:59.0,,409999.6904,209506.5558,골프장,,,,4,4620,,일반대중,
268,등록체육시설업,10_31_03_P,6280000,3.02E+14,20080429,,1,영업/정상,1,영업,,,,,,0,,인천광역시 중구 운서동 2029번지 1호,인천광역시 중구 공항동로 392 (운서동),,인천국제공항스카이칠십이골프장,2.01E+13,I,59:59.0,,154115.5115,443810.9415,골프장,,,0,17,23245.33,0,정규대중,스카이칠십이주식회사
269,등록체육시설업,10_31_03_P,6280000,3.02E+14,20090805,,1,영업/정상,1,영업,,,,,,0,,인천광역시 서구 원창동 390번지,인천광역시 서구 원석로 195 (원창동),,인천그랜드컨트리클럽,2.01E+13,I,59:59.0,,167928.2068,445581.2874,골프장,,,0,5,3970.85,0,일반대중,임재원
270,등록체육시설업,10_31_03_P,6280000,3.02E+14,20090805,,1,영업/정상,1,영업,,,,,,0,,인천광역시 연수구 동춘동 844번지 1호,인천광역시 연수구 능허대로 236 (동춘동),,(주)송도골프,2.01E+13,I,59:59.0,,169024.0087,434580.7536,골프장,,,0,1,1533.02,0,간이,
271,등록체육시설업,10_31_03_P,6280000,3.02E+14,20100819,,1,영업/정상,1,영업,,,,,,,,인천광역시 연수구 송도동 117번지,인천광역시 연수구 아카데미로 209 (송도동),,잭 니클라우스 골프클럽 코리아,2.02E+13,U,40:00.0,,166434.6804,431345.494,골프장,,,0,7,19882.85,550,없음,
272,등록체육시설업,10_31_03_P,6280000,3.02E+14,20160426,,1,영업/정상,1,영업,,,,,,0,,인천광역시 서구 청라동 9번지 90호,인천광역시 서구 청라대로316번길 45-0 (청라동),,베어즈베스트청라골프클럽,2.02E+13,U,40:00.0,,168069.7003,449926.5245,골프장,,,0,0,22394.08,0,일반대중,
273,등록체육시설업,10_31_03_P,6450000,3.02E+14,20200812,,1,영업/정상,1,영업,,,,,,,,전라북도 완주군 운주면 산북리 65번지 2호,전라북도 완주군 운주면 대둔산로 1580-101,,케이밸리컨트리클럽,2.02E+13,I,23:32.0,,226570.6148,288170.8137,골프장,,,,2,2219.25,,,
274,등록체육시설업,10_31_03_P,6470000,3.02E+14,20210810,,1,영업/정상,1,영업,,,,,,,,경상북도 칠곡군 기산면 노석리 992번지 0호,경상북도 칠곡군 기산면 노석1길 49-112,,칠곡아이위시컨트리클럽,2.02E+13,U,40:00.0,,,,골프장,,,0,0,6798.81,0,,
275,등록체육시설업,10_31_03_P,6420000,3.02E+14,20190911,,1,영업/정상,1,영업,,,,,,,,강원도 춘천시 신동면 혈동리 49번지 1호,강원도 춘천시 신동면 김유정로 730-0,,베어크리크 춘천,2.02E+13,I,22:53.0,,,,골프장,,,0,11,10640.39,0,없음,
276,등록체육시설업,10_31_03_P,6420000,3.02E+14,20210830,,1,영업/정상,1,영업,,,,,,,,강원도 양양군 손양면 학포리 84번지 1호,,,설해원 레전드코스(18홀),2.02E+13,I,22:50.0,,,,골프장,,,0,0,0,0,,
277,등록체육시설업,10_31_03_P,6450000,3.02E+14,20210602,,1,영업/정상,1,영업,,,,,,,,전라북도 남원시 대산면 옥율리 883번지 1호 드라곤레이크컨트리클럽 1동,"전라북도 남원시 대산면 대사로 500-0, 1동 0층 0호 (드라곤레이크컨트리클럽)",,골프존카운티 드래곤,2.02E+13,U,40:00.0,,230982.7134,215469.2697,골프장,,,,3,2050,,,
278,등록체육시설업,10_31_03_P,6280000,3.02E+14,20210526,,1,영업/정상,1,영업,,,,,,,,인천광역시 중구 운서동 2850번지 43호,,,오렌지듄스 영종 골프클럽,2.02E+13,I,22:55.0,,,,골프장,,,0,4,6017.96,0,,
279,등록체육시설업,10_31_03_P,6270000,3.02E+14,20101215,,1,영업/정상,1,영업,,,,,,0,,대구광역시 동구 도학동 산 1번지,대구광역시 동구 팔공산로237길 186 (도학동),,팔공컨트리클럽,2.02E+13,I,59:59.0,,355233.0292,278804.0674,골프장,,,,3,6661.78,1800,회원제,우경개발(주)
280,등록체육시설업,10_31_03_P,6270000,3.02E+14,20110930,,1,영업/정상,1,영업,,,,,,0,,대구광역시 달성군 가창면 용계리 산 74번지 1호,대구광역시 달성군 가창면 가창로 1037-9,,냉천개발(주) 윤상락,2.01E+13,I,59:59.0,,346723.4551,256108.8427,골프장,,,,4,1696.06,,일반대중,냉천개발(주)
281,등록체육시설업,10_31_03_P,6480000,3.02E+14,20070317,,1,영업/정상,1,영업,,,,,,0,,경상남도 남해군 남면 평산리 482번지 1호,경상남도 남해군 남면 남서대로1179번길 40-109,,아난티남해골프클럽,2.02E+13,I,59:59.0,,278149.7277,141927.8781,골프장,,,,1,158.84,,일반대중,
282,등록체육시설업,10_31_03_P,6260000,3.02E+14,20070409,,1,영업/정상,1,영업,,,,,,0,,부산광역시 금정구 노포동 368번지,부산광역시 금정구 중앙대로2327번길 112 (노포동),,부산칸트리클럽,2.02E+13,U,40:00.0,,390364.923,201886.6594,골프장,,,,,4227.52,1060,회원제,사단법인 부산컨트리클럽
283,등록체육시설업,10_31_03_P,6260000,3.02E+14,20071226,,1,영업/정상,1,영업,,,,,,0,,부산광역시 금정구 선동 834번지 1호,부산광역시 금정구 하정로 66 (선동),,동래베네스트골프클럽,2.02E+13,U,40:00.0,,390985.2779,197940.8476,골프장,,,,14,6346.07,,회원제,삼성물산 주식회사 대표이사 최치훈
284,등록체육시설업,10_31_03_P,6260000,3.02E+14,20080501,,1,영업/정상,1,영업,,,,,,,,부산광역시 기장군 일광면 이천리 산 34번지 29호,부산광역시 기장군 일광면 차양길 26,,아시아드컨트리클럽,2.02E+13,U,40:00.0,,403863.0602,200650.5042,골프장,,,,16,9270.43,800,없음,
285,등록체육시설업,10_31_03_P,6260000,3.02E+14,20081118,,1,영업/정상,1,영업,,,,,519417791,,,부산광역시 강서구 지사동 산 207번지,부산광역시 강서구 과학산단1로 172 (지사동),,하이스트컨트리클럽(JS강서),2.02E+13,U,40:00.0,,365093.5322,183570.2967,골프장,,,,4,3676.4,0,,
286,등록체육시설업,10_31_03_P,6260000,3.02E+14,20090109,,1,영업/정상,1,영업,,,,,517123900,,,부산광역시 강서구 지사동 산 11번지,부산광역시 강서구 과학산단로306번길 77 (지사동),,해라컨트리클럽,2.02E+13,U,40:00.0,,367528.8264,185676.7723,골프장,,,,3,4800.15,0,,
287,등록체육시설업,10_31_03_P,6260000,3.02E+14,20100924,,1,영업/정상,1,영업,,,,,516425100,,,부산광역시 기장군 일광면 이천리 산 34번지 13호,부산광역시 기장군 일광면 이천8길 100,,베이사이드골프클럽,2.02E+13,U,40:00.0,,404421.5427,200189.1113,골프장,,,,9,10341.07,698,,
288,등록체육시설업,10_31_03_P,6260000,3.02E+14,20101115,,1,영업/정상,1,영업,,,,,,0,,부산광역시 기장군 정관면 병산리 산 6번지,부산광역시 기장군 정관면 병산2로 265,,해운대컨트리클럽,2.02E+13,U,40:00.0,,400334.6937,209676.7324,골프장,,,,3,7983.53,900,회원제,경원개발주식회사
289,등록체육시설업,10_31_03_P,6260000,3.02E+14,20141103,,1,영업/정상,1,영업,,,,,,,,부산광역시 기장군 기장읍 대변리 504번지 3호,부산광역시 기장군 기장읍 대변로 74,,해운대비치 골프앤리조트,2.02E+13,U,40:00.0,,402144.4405,194554.9494,골프장,,,,6,5898.89,580,없음,
290,등록체육시설업,10_31_03_P,6260000,3.02E+14,20161011,,1,영업/정상,1,영업,,,,,516304134,,,부산광역시 기장군 기장읍 만화리 산 104번지 5호,부산광역시 기장군 기장읍 반송로 1345-52,,기장동원로얄골프장,2.02E+13,U,40:00.0,,399082.499,197252.2488,골프장,,,,,4457.46,,,
291,등록체육시설업,10_31_03_P,6280000,3.02E+14,20061207,,1,영업/정상,1,영업,,,,,,0,,인천광역시 서구 경서동 177번지 1호,인천광역시 서구 도요지로 37 (경서동),,인천국제컨트리클럽,2.01E+13,I,59:59.0,,169276.9213,451188.9658,골프장,,,0,0,4851.68,0,회원제,(주)신태진
292,등록체육시설업,10_31_03_P,6460000,3.02E+14,20090803,,1,영업/정상,1,영업,,,,,,0,,전라남도 함평군 학교면 곡창리 산 6번지 21호,전라남도 함평군 학교면 서당매길 242,,함평엘리체CC,2.02E+13,I,59:59.0,,159781.6694,167819.5112,골프장,,,,5,6942.79,850,회원제,
293,등록체육시설업,10_31_03_P,6430000,3.02E+14,20080611,,1,영업/정상,1,영업,,,,,,,,충청북도 충주시 노은면 신효리 산 81번지,충청북도 충주시 노은면 솔고개로 750,,센테리움CC(회원제),2.01E+13,I,59:59.0,,269446.2037,393096.7347,골프장,,,,,11445.32,550,없음,
294,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080102,,1,영업/정상,1,영업,,,,,,,,경상북도 영천시 고경면 동도리 산 12번지,경상북도 영천시 고경면 호국로 1221-24,,오펠골프클럽,2.02E+13,U,40:00.0,,385453.4631,280492.58,골프장,,,,8,11805.54,,,
295,등록체육시설업,10_31_03_P,6470000,3.02E+14,20061208,,1,영업/정상,1,영업,,,,,,,,경상북도 문경시 마성면 외어리 산 1번지 1호,경상북도 문경시 마성면 문경골프장길 240,,문경레저타운골프장,2.02E+13,U,40:00.0,,303293.6763,357514.5581,골프장,,,,7,6163.73,0,없음,
296,등록체육시설업,10_31_03_P,6470000,3.02E+14,20071027,,1,영업/정상,1,영업,,,,,,,,경상북도 경산시 평산동 542번지 16호,경상북도 경산시 삼성현로 614-26 (평산동),,인터불고경산골프장,2.02E+13,U,40:00.0,,359264.1787,256503.1888,골프장,,,,9,19848.74,500,없음,(주)인터불고경산
297,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080102,,1,영업/정상,1,영업,,,,,,0,,경상북도 경주시 신평동 462번지 11호,경상북도 경주시 보문로 319 (신평동),,경주신라컨트리클럽,2.02E+13,U,40:00.0,,406387.5805,263521.1582,골프장,,,,10,6308.25,,회원제,
298,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080102,,1,영업/정상,1,영업,,,,,,0,,경상북도 성주군 초전면 소성리 산 49번지 1호,경상북도 성주군 초전면 소성2길 129,,롯데스카이힐성주컨트리클럽,2.01E+13,I,59:59.0,,310545.1298,283394.8417,골프장,,,,13,8338.3,,회원제,
299,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080102,,1,영업/정상,1,영업,,,,,,0,,경상북도 경주시 천군동 산 25번지 6호,경상북도 경주시 보불로 391 (천군동),,블루원보문컨트리클럽,2.02E+13,I,59:59.0,,407557.7661,260631.049,골프장,,,,6,15064.39,,회원제,
300,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080102,,1,영업/정상,1,영업,,,,,,0,,경상북도 경주시 안강읍 검단리 67번지,경상북도 경주시 안강읍 검단장골길 181-17,,선리치골프클럽,2.02E+13,U,40:00.0,,399140.9294,274280.5258,골프장,,,,4,2088.4,,일반대중,(주)선리치골프클럽
301,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080102,,1,영업/정상,1,영업,,,,,,0,,경상북도 경산시 진량읍 선화리 67번지 2호,경상북도 경산시 진량읍 일연로 718-42,,대구컨트리클럽,2.02E+13,U,40:00.0,,363281.7719,264912.3798,골프장,,,,23,8888.54,,회원제,
302,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080102,,1,영업/정상,1,영업,,,,,,0,,경상북도 포항시 북구 청하면 신흥리 산 3번지,경상북도 포항시 북구 청하면 용산길 94,,청하이스턴CC,2.02E+13,U,40:00.0,,412578.8543,298363.873,골프장,,,,4,2440.92,,일반대중,
303,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080102,,1,영업/정상,1,영업,,,,,,,,경상북도 청도군 이서면 각계리 산 6번지 2호,경상북도 청도군 이서면 서녁길 91,,그레이스컨트리클럽,2.01E+13,I,59:59.0,,348914.5,241780.4424,골프장,,,,9,19258.29,,없음,
304,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080102,,1,영업/정상,1,영업,,,,,,,,경상북도 포항시 북구 청하면 신흥리 산 3번지,경상북도 포항시 북구 청하면 용산길 94,,청하이스턴C.C,2.01E+13,I,59:59.0,,412578.8543,298363.873,골프장,,,,4,2440.92,,,
305,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080102,,1,영업/정상,1,영업,,,,,,,,경상북도 경주시 안강읍 검단리 산 4번지,경상북도 경주시 안강읍 검단장골길 181-17,,선리치골프클럽,2.01E+13,I,59:59.0,,399129.0479,274179.6417,골프장,,,,4,2088.4,,없음,
306,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080103,,1,영업/정상,1,영업,,,,,,,,경상북도 성주군 초전면 소성리 산 49번지 1호,경상북도 성주군 초전면 소성2길 129,,헤븐랜드컨트리클럽,2.01E+13,I,59:59.0,,310545.1298,283394.8417,골프장,,,,13,8338.3,,,
307,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080220,,1,영업/정상,1,영업,,,,,,0,,경상북도 경주시 마동 111번지 1호,경상북도 경주시 불국로 289-17 (마동),,코오롱호텔 가든골프장,2.02E+13,U,40:00.0,,409841.9888,256679.7988,골프장,,,,,472.22,,간이,
308,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080221,,1,영업/정상,1,영업,,,,,,0,,경상북도 경주시 양남면 신대리 산 307번지 6호,경상북도 경주시 양남면 동남로 972,,우리골프장,2.02E+13,U,40:00.0,,414914.7523,244688.8825,골프장,,,,,3300,,일반대중,
309,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080312,,1,영업/정상,1,영업,,,,,,,,경상북도 포항시 북구 송라면 대전리 산 208번지,경상북도 포항시 북구 송라면 대전길 7,,포항골프장(대중9홀),2.02E+13,U,40:00.0,,411396.2022,307914.5877,골프장,,,,,446.14,,없음,
310,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080411,,1,영업/정상,1,영업,,,,,,0,,경상북도 영덕군 강구면 삼사리 478번지,경상북도 영덕군 강구면 삼사1길 2,,오션뷰컨트리클럽,2.02E+13,U,40:00.0,,413657.5368,318419.0893,골프장,,,,,10825.97,,회원제,
311,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080429,,1,영업/정상,1,영업,,,,,547788900,,,경상북도 경주시 북군동 375번지 1호,경상북도 경주시 보문로 182-98 (북군동),,경주컨트리클럽,2.01E+13,I,59:59.0,,404233.7727,264961.1353,골프장,,,,,5550.22,,,
312,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080520,,1,영업/정상,1,영업,,,,,,0,,경상북도 상주시 모서면 호음리 669번지,경상북도 상주시 모서면 백화로 40,,뉴스프링빌2,2.01E+13,I,59:59.0,,278201.8791,309536.9703,골프장,,,,,4899.75,,정규대중,
313,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080520,,1,영업/정상,1,영업,,,,,,,,경상북도 상주시 모서면 호음리 690번지 3호,경상북도 상주시 모서면 백화로 40,,뉴스프링빌2,2.01E+13,I,59:59.0,,277200.5,309217.7046,골프장,,,,,4899.75,,없음,
314,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080522,,1,영업/정상,1,영업,,,,,,0,,경상북도 경주시 북군동 5번지 4호,경상북도 경주시 보문로 182-14 (북군동),,보문골프클럽,2.02E+13,U,40:00.0,,405290.5271,264702.3261,골프장,,,,,7460,,정규대중,
315,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080102,,1,영업/정상,1,영업,,,,,,0,,경상북도 안동시 일직면 조탑리 산 46번지 1호,경상북도 안동시 풍천면 풍일로 1887,,남안동컨트리클럽,2.02E+13,U,40:00.0,,343761.9709,331128.2263,골프장,,,,7,8638.43,,회원제,
316,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080102,,1,영업/정상,1,영업,,,,,,0,,경상북도 경주시 북군동 375번지 1호,경상북도 경주시 보문로 182-98 (북군동),,경주컨트리클럽,2.02E+13,U,40:00.0,,404233.7727,264961.1353,골프장,,,,16,3690.92,,일반대중,
317,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080102,,1,영업/정상,1,영업,,,,,,0,,경상북도 청도군 이서면 각계리 산 6번지 2호,경상북도 청도군 이서면 서녁길 91,,그레이스컨트리클럽,2.02E+13,U,40:00.0,,348914.5,241780.4424,골프장,,,,9,19258.29,,회원제,(주)태왕아너스 정석봉
318,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080102,,1,영업/정상,1,영업,,,,,,0,,경상북도 영천시 고경면 동도리 산 12번지,경상북도 영천시 고경면 호국로 1221-24,,오펠골프클럽,2.02E+13,U,40:00.0,,385453.4631,280492.58,골프장,,,,8,11805.54,,회원제,
319,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080102,,1,영업/정상,1,영업,,,,,,0,,경상북도 경주시 양남면 신대리 산 140번지 1호,경상북도 경주시 양남면 동남로 981,,마우나오션컨트리클럽,2.02E+13,U,40:00.0,,414744.4842,245720.536,골프장,,,,5,5592.12,,회원제,
320,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080102,,1,영업/정상,1,영업,,,,,,,,경상북도 청도군 이서면 각계리 산 6번지 2호,경상북도 청도군 이서면 서녁길 91,,그레이스컨트리클럽,2.01E+13,I,59:59.0,,348914.5,241780.4424,골프장,,,,,19258.29,,없음,
321,등록체육시설업,10_31_03_P,6470000,3.02E+14,20100126,,1,영업/정상,1,영업,,,,,,0,,경상북도 포항시 북구 송라면 대전리 산 208번지,경상북도 포항시 북구 송라면 대전길 7,,포항컨트리클럽,2.02E+13,U,40:00.0,,411396.2022,307914.5877,골프장,,,,,0,,회원제,
322,등록체육시설업,10_31_03_P,6470000,3.02E+14,20100326,,1,영업/정상,1,영업,,,,,,,,경상북도 청도군 매전면 용산리 산 201번지,경상북도 청도군 매전면 곰티로 370-204,,오션힐스청도골프클럽,2.02E+13,U,40:00.0,,364035.1157,243178.8989,골프장,,,,8,7559.59,980,회원제,유창개발(주)
323,등록체육시설업,10_31_03_P,6470000,3.02E+14,20100512,,1,영업/정상,1,영업,,,,,,,,경상북도 경주시 양남면 효동리 산 505번지,경상북도 경주시 양남면 외남로 1377,,이스트힐골프장,2.02E+13,U,59:59.0,,414969.7423,249610.3801,골프장,,,,7,4998.87,,정규대중,(주)청학씨앤디
324,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080527,,1,영업/정상,1,영업,,,,,547309090,,,경상북도 영덕군 강구면 삼사리 478번지,경상북도 영덕군 강구면 삼사1길 2,,오션뷰 컨트리클럽(정규대중제27홀),2.02E+13,I,59:59.0,,413657.5368,318419.0893,골프장,,,,0,0,,,
325,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080728,,1,영업/정상,1,영업,,,,,,0,,경상북도 칠곡군 왜관읍 매원리 295번지 1호,경상북도 칠곡군 왜관읍 봉계로 263,,파미힐스 컨트리클럽,2.02E+13,U,40:00.0,,330141.1068,278840.1068,골프장,,,,14,10684,,회원제,
326,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080730,,1,영업/정상,1,영업,,,,,,0,,경상북도 포항시 북구 송라면 대전리 산 208번지,경상북도 포항시 북구 송라면 대전길 7,,포항골프장(회원제),2.02E+13,U,40:00.0,,411396.2022,307914.5877,골프장,,,,8,6851.46,,회원제,
327,등록체육시설업,10_31_03_P,6470000,3.02E+14,20080908,,1,영업/정상,1,영업,,,,,,0,,경상북도 고령군 고령읍 내곡리 1085번지 2호,경상북도 고령군 고령읍 일량로 588,,고령 유니벨리CC,2.02E+13,U,37:38.0,,317133.1238,243623.7355,골프장,,,,,3072.56,,일반대중,
